Name,pitchcenter,scale,C,C#/Db,D,D#/Eb,E,F,F#/Gb,G,G#/Ab,A,A#/Bb,B
Prelude1,C,major,19.7822,0.726,13.2486,1.0889,11.4338,11.6152,2.5408,20.5082,0.726,9.0744,1.8149,7.441
Prelude1,C,major,0.726,13.2486,1.0889,11.4338,11.6152,2.5408,20.5082,0.726,9.0744,1.8149,7.441,19.7822
Prelude1,C,major,13.2486,1.0889,11.4338,11.6152,2.5408,20.5082,0.726,9.0744,1.8149,7.441,19.7822,0.726
Prelude1,C,major,1.0889,11.4338,11.6152,2.5408,20.5082,0.726,9.0744,1.8149,7.441,19.7822,0.726,13.2486
Prelude1,C,major,11.4338,11.6152,2.5408,20.5082,0.726,9.0744,1.8149,7.441,19.7822,0.726,13.2486,1.0889
Prelude1,C,major,11.6152,2.5408,20.5082,0.726,9.0744,1.8149,7.441,19.7822,0.726,13.2486,1.0889,11.4338
Prelude1,C,major,2.5408,20.5082,0.726,9.0744,1.8149,7.441,19.7822,0.726,13.2486,1.0889,11.4338,11.6152
Prelude1,C,major,20.5082,0.726,9.0744,1.8149,7.441,19.7822,0.726,13.2486,1.0889,11.4338,11.6152,2.5408
Prelude1,C,major,0.726,9.0744,1.8149,7.441,19.7822,0.726,13.2486,1.0889,11.4338,11.6152,2.5408,20.5082
Prelude1,C,major,9.0744,1.8149,7.441,19.7822,0.726,13.2486,1.0889,11.4338,11.6152,2.5408,20.5082,0.726
Prelude1,C,major,1.8149,7.441,19.7822,0.726,13.2486,1.0889,11.4338,11.6152,2.5408,20.5082,0.726,9.0744
Prelude1,C,major,7.441,19.7822,0.726,13.2486,1.0889,11.4338,11.6152,2.5408,20.5082,0.726,9.0744,1.8149
Prelude2,C,minor,16.4384,0.0913,13.3333,14.8858,3.653,14.3379,2.1918,13.6073,7.5799,3.8356,3.8356,6.21
Prelude2,C,minor,0.0913,13.3333,14.8858,3.653,14.3379,2.1918,13.6073,7.5799,3.8356,3.8356,6.21,16.4384
Prelude2,C,minor,13.3333,14.8858,3.653,14.3379,2.1918,13.6073,7.5799,3.8356,3.8356,6.21,16.4384,0.0913
Prelude2,C,minor,14.8858,3.653,14.3379,2.1918,13.6073,7.5799,3.8356,3.8356,6.21,16.4384,0.0913,13.3333
Prelude2,C,minor,3.653,14.3379,2.1918,13.6073,7.5799,3.8356,3.8356,6.21,16.4384,0.0913,13.3333,14.8858
Prelude2,C,minor,14.3379,2.1918,13.6073,7.5799,3.8356,3.8356,6.21,16.4384,0.0913,13.3333,14.8858,3.653
Prelude2,C,minor,2.1918,13.6073,7.5799,3.8356,3.8356,6.21,16.4384,0.0913,13.3333,14.8858,3.653,14.3379
Prelude2,C,minor,13.6073,7.5799,3.8356,3.8356,6.21,16.4384,0.0913,13.3333,14.8858,3.653,14.3379,2.1918
Prelude2,C,minor,7.5799,3.8356,3.8356,6.21,16.4384,0.0913,13.3333,14.8858,3.653,14.3379,2.1918,13.6073
Prelude2,C,minor,3.8356,3.8356,6.21,16.4384,0.0913,13.3333,14.8858,3.653,14.3379,2.1918,13.6073,7.5799
Prelude2,C,minor,3.8356,6.21,16.4384,0.0913,13.3333,14.8858,3.653,14.3379,2.1918,13.6073,7.5799,3.8356
Prelude2,C,minor,6.21,16.4384,0.0913,13.3333,14.8858,3.653,14.3379,2.1918,13.6073,7.5799,3.8356,3.8356
Prelude3,C#/Db,major,15.2898,1.233,13.9334,2.0962,10.7275,10.8508,2.0962,20.9618,1.3564,11.8372,1.9729,7.6449
Prelude3,C#/Db,major,1.233,13.9334,2.0962,10.7275,10.8508,2.0962,20.9618,1.3564,11.8372,1.9729,7.6449,15.2898
Prelude3,C#/Db,major,13.9334,2.0962,10.7275,10.8508,2.0962,20.9618,1.3564,11.8372,1.9729,7.6449,15.2898,1.233
Prelude3,C#/Db,major,2.0962,10.7275,10.8508,2.0962,20.9618,1.3564,11.8372,1.9729,7.6449,15.2898,1.233,13.9334
Prelude3,C#/Db,major,10.7275,10.8508,2.0962,20.9618,1.3564,11.8372,1.9729,7.6449,15.2898,1.233,13.9334,2.0962
Prelude3,C#/Db,major,10.8508,2.0962,20.9618,1.3564,11.8372,1.9729,7.6449,15.2898,1.233,13.9334,2.0962,10.7275
Prelude3,C#/Db,major,2.0962,20.9618,1.3564,11.8372,1.9729,7.6449,15.2898,1.233,13.9334,2.0962,10.7275,10.8508
Prelude3,C#/Db,major,20.9618,1.3564,11.8372,1.9729,7.6449,15.2898,1.233,13.9334,2.0962,10.7275,10.8508,2.0962
Prelude3,C#/Db,major,1.3564,11.8372,1.9729,7.6449,15.2898,1.233,13.9334,2.0962,10.7275,10.8508,2.0962,20.9618
Prelude3,C#/Db,major,11.8372,1.9729,7.6449,15.2898,1.233,13.9334,2.0962,10.7275,10.8508,2.0962,20.9618,1.3564
Prelude3,C#/Db,major,1.9729,7.6449,15.2898,1.233,13.9334,2.0962,10.7275,10.8508,2.0962,20.9618,1.3564,11.8372
Prelude3,C#/Db,major,7.6449,15.2898,1.233,13.9334,2.0962,10.7275,10.8508,2.0962,20.9618,1.3564,11.8372,1.9729
